Timestamp,Asset_ID,Batch_ID,Cumulative_Cycles,Avg_Operating_Temp_C,Cell_Voltage_Imbalance_mV,Estimated_SoH,Daily_Distance_km
2025-06-05,TRUCK_002,BATCH_125,8,33.4,2.06,99.98,228.1
2025-06-06,TRUCK_002,BATCH_125,10,32.6,2.53,100.45,206.4
2025-06-07,TRUCK_002,BATCH_125,12,32.6,2.51,99.78,214.9
2025-06-08,TRUCK_002,BATCH_125,14,32.9,2.6,99.53,250.5
2025-06-09,TRUCK_002,BATCH_125,16,33.5,1.51,100.26,211.1
2025-06-10,TRUCK_002,BATCH_125,18,34.2,1.68,99.78,229.9
2025-06-11,TRUCK_002,BATCH_125,20,32.9,2.44,99.54,241.7
2025-06-12,TRUCK_002,BATCH_125,22,32.9,2.61,99.7,249.6
2025-06-13,TRUCK_002,BATCH_125,24,32.0,1.17,100.04,233.1
2025-06-14,TRUCK_002,BATCH_125,26,33.2,1.25,99.75,245.3
2025-06-15,TRUCK_002,BATCH_125,28,33.6,2.82,99.49,232.6
2025-06-16,TRUCK_002,BATCH_125,30,33.4,1.73,99.9,202.9
2025-06-17,TRUCK_002,BATCH_125,32,32.6,2.55,99.51,219.5
2025-06-18,TRUCK_002,BATCH_125,34,32.7,2.95,99.57,240.4
2025-06-19,TRUCK_002,BATCH_125,36,33.0,2.97,99.86,224.9
2025-06-20,TRUCK_002,BATCH_125,38,32.8,2.02,100.03,238.5
2025-06-21,TRUCK_002,BATCH_125,40,32.5,1.44,99.49,233.7
2025-06-22,TRUCK_002,BATCH_125,42,32.4,2.8,99.72,236.0
2025-06-23,TRUCK_002,BATCH_125,44,33.4,2.06,99.64,242.2
2025-06-24,TRUCK_002,BATCH_125,46,32.5,1.81,99.77,226.2
2025-06-25,TRUCK_002,BATCH_125,48,32.6,1.28,99.76,214.5
2025-06-26,TRUCK_002,BATCH_125,50,33.3,1.5,99.98,233.1
2025-06-27,TRUCK_002,BATCH_125,52,34.3,2.68,99.72,221.6
2025-06-28,TRUCK_002,BATCH_125,54,32.7,1.71,99.49,249.4
2025-06-29,TRUCK_002,BATCH_125,56,32.8,2.83,99.42,237.5
2025-06-30,TRUCK_002,BATCH_125,58,33.1,1.79,99.74,249.2
2025-07-01,TRUCK_002,BATCH_125,60,32.9,1.54,100.01,228.4
2025-07-02,TRUCK_002,BATCH_125,62,33.0,2.69,99.73,249.3
2025-07-03,TRUCK_002,BATCH_125,64,33.1,1.95,99.95,218.5
2025-07-04,TRUCK_002,BATCH_125,66,32.4,2.41,100.05,231.3
2025-07-05,TRUCK_002,BATCH_125,68,32.5,1.16,99.84,201.3
2025-07-06,TRUCK_002,BATCH_125,70,32.7,2.61,99.81,249.6
2025-07-07,TRUCK_002,BATCH_125,72,33.2,2.04,99.53,205.6
2025-07-08,TRUCK_002,BATCH_125,74,33.5,2.45,99.55,233.3
2025-07-09,TRUCK_002,BATCH_125,76,33.6,1.1,99.61,234.9
2025-07-10,TRUCK_002,BATCH_125,78,32.9,3.0,99.74,229.2
2025-07-11,TRUCK_002,BATCH_125,80,31.9,1.24,99.86,238.0
2025-07-12,TRUCK_002,BATCH_125,82,32.8,1.84,99.77,241.2
2025-07-13,TRUCK_002,BATCH_125,84,33.6,2.29,100.24,233.9
2025-07-14,TRUCK_002,BATCH_125,86,33.3,1.96,100.13,245.7
2025-07-15,TRUCK_002,BATCH_125,88,31.6,1.81,99.48,230.0
2025-07-16,TRUCK_002,BATCH_125,90,33.0,2.32,99.41,238.3
2025-07-17,TRUCK_002,BATCH_125,92,31.6,2.75,99.5,222.2
2025-07-18,TRUCK_002,BATCH_125,94,33.0,1.0,99.82,210.5
2025-07-19,TRUCK_002,BATCH_125,96,33.2,1.14,99.84,201.7
2025-07-20,TRUCK_002,BATCH_125,98,32.9,2.16,99.81,214.9
2025-07-21,TRUCK_002,BATCH_125,100,32.5,1.67,99.79,227.5
2025-07-22,TRUCK_002,BATCH_125,102,31.9,2.71,99.7,237.2
2025-07-23,TRUCK_002,BATCH_125,104,32.1,2.82,99.5,203.5
2025-07-24,TRUCK_002,BATCH_125,106,32.8,1.25,99.96,249.3
2025-07-25,TRUCK_002,BATCH_125,108,32.6,2.18,99.53,250.6
2025-07-26,TRUCK_002,BATCH_125,110,33.0,2.81,99.44,251.0
2025-07-27,TRUCK_002,BATCH_125,112,32.8,1.8,99.71,243.4
2025-07-28,TRUCK_002,BATCH_125,114,33.2,1.24,99.88,203.6
2025-07-29,TRUCK_002,BATCH_125,116,32.7,2.91,99.63,242.8
2025-07-30,TRUCK_002,BATCH_125,118,33.1,1.43,99.52,227.3
2025-07-31,TRUCK_002,BATCH_125,120,33.2,1.52,99.26,227.1
2025-08-01,TRUCK_002,BATCH_125,122,33.0,2.79,99.62,224.5
2025-08-02,TRUCK_002,BATCH_125,124,33.6,1.07,99.65,246.2
2025-08-03,TRUCK_002,BATCH_125,126,32.8,1.78,99.49,214.9
2025-08-04,TRUCK_002,BATCH_125,128,32.6,2.7,99.63,203.0
2025-08-05,TRUCK_002,BATCH_125,130,33.1,2.47,99.68,215.4
2025-08-06,TRUCK_002,BATCH_125,132,32.8,2.07,99.66,249.6
2025-08-07,TRUCK_002,BATCH_125,134,32.9,2.81,99.4,230.0
2025-08-08,TRUCK_002,BATCH_125,136,33.2,2.73,99.21,238.1
2025-08-09,TRUCK_002,BATCH_125,138,33.4,1.49,99.72,209.1
2025-08-10,TRUCK_002,BATCH_125,140,32.6,1.48,99.93,248.0
2025-08-11,TRUCK_002,BATCH_125,142,33.0,1.38,99.87,245.6
2025-08-12,TRUCK_002,BATCH_125,144,32.9,2.76,99.5,201.5
2025-08-13,TRUCK_002,BATCH_125,146,32.6,2.82,99.47,201.3
2025-08-14,TRUCK_002,BATCH_125,148,33.7,1.52,99.66,210.9
2025-08-15,TRUCK_002,BATCH_125,150,32.8,2.12,99.79,207.0
2025-08-16,TRUCK_002,BATCH_125,152,32.8,1.57,99.68,202.1
2025-08-17,TRUCK_002,BATCH_125,154,33.5,1.78,99.74,210.2
2025-08-18,TRUCK_002,BATCH_125,156,33.3,1.35,99.6,240.0
2025-08-19,TRUCK_002,BATCH_125,158,33.3,1.95,99.48,204.1
2025-08-20,TRUCK_002,BATCH_125,160,33.9,2.19,99.8,220.5
2025-08-21,TRUCK_002,BATCH_125,162,33.4,1.51,99.81,201.3
2025-08-22,TRUCK_002,BATCH_125,164,32.8,2.89,99.83,206.4
2025-08-23,TRUCK_002,BATCH_125,166,32.9,2.65,99.37,216.2
2025-08-24,TRUCK_002,BATCH_125,168,33.1,1.46,99.61,207.8
2025-08-25,TRUCK_002,BATCH_125,170,32.0,1.64,99.82,237.7
2025-08-26,TRUCK_002,BATCH_125,172,32.5,2.74,99.47,237.2
2025-08-27,TRUCK_002,BATCH_125,174,32.3,2.09,99.15,209.2
2025-08-28,TRUCK_002,BATCH_125,176,32.8,2.06,99.89,202.1
2025-08-29,TRUCK_002,BATCH_125,178,32.6,2.82,99.39,249.9
2025-08-30,TRUCK_002,BATCH_125,180,32.8,1.0,100.03,231.3
2025-08-31,TRUCK_002,BATCH_125,182,32.2,2.12,99.53,212.6
2025-09-01,TRUCK_002,BATCH_125,184,33.1,1.65,99.89,230.9
2025-09-02,TRUCK_002,BATCH_125,186,33.0,1.3,99.73,224.6
2025-09-03,TRUCK_002,BATCH_125,188,32.4,2.95,99.24,237.5
2025-09-04,TRUCK_002,BATCH_125,190,33.5,2.91,99.41,246.9
2025-09-05,TRUCK_002,BATCH_125,192,33.3,1.29,99.55,206.4
2025-09-06,TRUCK_002,BATCH_125,194,32.7,1.96,99.65,211.8
2025-09-07,TRUCK_002,BATCH_125,196,33.5,2.88,99.69,204.9
2025-09-08,TRUCK_002,BATCH_125,198,33.4,1.17,99.71,242.7
2025-09-09,TRUCK_002,BATCH_125,200,32.2,2.95,99.78,211.3
2025-09-10,TRUCK_002,BATCH_125,202,33.3,1.08,99.63,234.9
2025-09-11,TRUCK_002,BATCH_125,204,33.0,2.23,99.45,232.0
2025-09-12,TRUCK_002,BATCH_125,206,33.1,2.89,99.59,232.7
2025-09-13,TRUCK_002,BATCH_125,208,33.1,1.97,99.38,234.5
2025-09-14,TRUCK_002,BATCH_125,210,34.0,2.57,99.35,225.4
2025-09-15,TRUCK_002,BATCH_125,212,33.7,2.19,99.71,233.9
2025-09-16,TRUCK_002,BATCH_125,214,34.1,1.66,99.75,224.9
2025-09-17,TRUCK_002,BATCH_125,216,33.2,1.87,99.58,203.4
2025-09-18,TRUCK_002,BATCH_125,218,32.2,2.08,99.39,226.0
2025-09-19,TRUCK_002,BATCH_125,220,32.8,1.44,99.84,222.3
2025-09-20,TRUCK_002,BATCH_125,222,33.1,1.35,99.78,249.5
2025-09-21,TRUCK_002,BATCH_125,224,33.4,2.26,99.66,238.2
2025-09-22,TRUCK_002,BATCH_125,226,32.9,2.09,99.31,227.1
2025-09-23,TRUCK_002,BATCH_125,228,32.7,1.79,99.64,231.7
2025-09-24,TRUCK_002,BATCH_125,230,33.5,2.31,99.51,251.1
2025-09-25,TRUCK_002,BATCH_125,232,32.4,1.77,99.93,224.6
2025-09-26,TRUCK_002,BATCH_125,234,32.6,2.55,99.45,221.6
2025-09-27,TRUCK_002,BATCH_125,236,33.7,1.75,99.39,227.0
2025-09-28,TRUCK_002,BATCH_125,238,32.5,1.87,99.67,206.1
2025-06-01,TRUCK_003,BATCH_147,0,31.9,1.19,99.7,223.8
2025-06-02,TRUCK_003,BATCH_147,2,30.5,2.72,100.05,192.8
2025-06-03,TRUCK_003,BATCH_147,4,31.8,1.79,99.51,203.8
2025-06-04,TRUCK_003,BATCH_147,6,31.2,1.88,99.86,208.3
2025-06-05,TRUCK_003,BATCH_147,8,31.9,1.29,99.98,214.0
2025-06-06,TRUCK_003,BATCH_147,10,31.3,1.51,99.81,209.7
2025-06-07,TRUCK_003,BATCH_147,12,31.7,1.71,100.13,218.1
2025-06-08,TRUCK_003,BATCH_147,14,31.3,1.89,99.6,234.0
2025-06-09,TRUCK_003,BATCH_147,16,31.8,1.07,99.41,239.9
2025-06-10,TRUCK_003,BATCH_147,18,30.8,1.1,99.96,223.2
2025-06-11,TRUCK_003,BATCH_147,20,30.7,1.18,99.97,197.4
2025-06-12,TRUCK_003,BATCH_147,22,31.8,1.79,99.64,215.5
2025-06-13,TRUCK_003,BATCH_147,24,30.2,2.04,99.67,208.9
2025-06-14,TRUCK_003,BATCH_147,26,30.4,1.27,99.83,199.3
2025-06-15,TRUCK_003,BATCH_147,28,31.0,1.32,99.81,201.5
2025-06-16,TRUCK_003,BATCH_147,30,30.6,1.47,99.73,238.7
2025-06-17,TRUCK_003,BATCH_147,32,31.4,2.96,99.91,210.4
2025-06-18,TRUCK_003,BATCH_147,34,31.1,2.54,99.68,197.8
2025-06-19,TRUCK_003,BATCH_147,36,31.3,2.65,99.67,224.5
2025-06-20,TRUCK_003,BATCH_147,38,30.0,1.32,99.64,221.5
2025-06-21,TRUCK_003,BATCH_147,40,31.4,2.99,99.74,228.6
2025-06-22,TRUCK_003,BATCH_147,42,30.8,1.22,99.94,223.7
2025-06-23,TRUCK_003,BATCH_147,44,31.4,2.76,99.71,207.7
2025-06-24,TRUCK_003,BATCH_147,46,30.8,1.59,99.61,223.6
2025-06-25,TRUCK_003,BATCH_147,48,31.5,2.22,100.02,219.5
2025-06-26,TRUCK_003,BATCH_147,50,31.4,2.19,100.16,218.6
2025-06-27,TRUCK_003,BATCH_147,52,30.8,2.17,99.74,200.5
2025-06-28,TRUCK_003,BATCH_147,54,31.6,2.0,99.61,218.5
2025-06-29,TRUCK_003,BATCH_147,56,30.1,1.95,99.72,211.4
2025-06-30,TRUCK_003,BATCH_147,58,31.8,2.43,99.64,217.5
2025-07-01,TRUCK_003,BATCH_147,60,30.8,2.79,99.41,195.8
2025-07-02,TRUCK_003,BATCH_147,62,31.0,1.76,99.69,201.9
2025-07-03,TRUCK_003,BATCH_147,64,30.3,1.33,99.83,222.1
2025-07-04,TRUCK_003,BATCH_147,66,32.0,2.86,99.6,218.0
2025-07-05,TRUCK_003,BATCH_147,68,30.6,2.44,99.66,211.6
2025-07-06,TRUCK_003,BATCH_147,70,30.4,2.72,99.65,230.9
2025-07-07,TRUCK_003,BATCH_147,72,30.7,2.59,99.86,201.3
2025-07-08,TRUCK_003,BATCH_147,74,30.9,1.17,99.66,231.6
2025-07-09,TRUCK_003,BATCH_147,76,31.2,1.22,100.27,192.5
2025-07-10,TRUCK_003,BATCH_147,78,31.1,2.19,99.26,230.6
2025-07-11,TRUCK_003,BATCH_147,80,30.4,1.72,99.66,236.0
2025-07-12,TRUCK_003,BATCH_147,82,31.1,1.51,99.48,206.9
2025-07-13,TRUCK_003,BATCH_147,84,31.3,2.34,99.6,231.3
2025-07-14,TRUCK_003,BATCH_147,86,30.7,1.85,99.66,199.8
2025-07-15,TRUCK_003,BATCH_147,88,31.2,1.95,99.8,218.2
2025-07-16,TRUCK_003,BATCH_147,90,30.7,1.46,99.97,202.3
2025-07-17,TRUCK_003,BATCH_147,92,30.3,2.26,99.55,195.2
2025-07-18,TRUCK_003,BATCH_147,94,30.7,2.19,99.84,224.9
2025-07-19,TRUCK_003,BATCH_147,96,30.0,2.45,100.07,193.2
2025-07-20,TRUCK_003,BATCH_147,98,31.5,2.21,99.8,208.6
2025-07-21,TRUCK_003,BATCH_147,100,31.0,1.53,99.71,223.4
2025-07-22,TRUCK_003,BATCH_147,102,30.1,1.73,99.43,208.9
2025-07-23,TRUCK_003,BATCH_147,104,30.5,2.66,99.23,224.6
2025-07-24,TRUCK_003,BATCH_147,106,31.1,1.54,99.88,220.9
2025-07-25,TRUCK_003,BATCH_147,108,30.4,1.91,99.58,201.6
2025-07-26,TRUCK_003,BATCH_147,110,30.9,1.73,99.84,240.3
2025-07-27,TRUCK_003,BATCH_147,112,30.0,2.16,99.82,196.7
2025-07-28,TRUCK_003,BATCH_147,114,31.0,2.51,99.58,200.6
2025-07-29,TRUCK_003,BATCH_147,116,30.2,2.64,100.01,192.5
2025-07-30,TRUCK_003,BATCH_147,118,29.8,1.24,99.89,239.3
2025-07-31,TRUCK_003,BATCH_147,120,30.6,2.34,99.51,196.9
2025-08-01,TRUCK_003,BATCH_147,122,31.4,2.73,99.77,221.7
2025-08-02,TRUCK_003,BATCH_147,124,30.3,1.13,99.79,198.1
2025-08-03,TRUCK_003,BATCH_147,126,30.6,1.76,99.96,209.1
2025-08-04,TRUCK_003,BATCH_147,128,31.0,2.65,99.96,205.9
2025-08-05,TRUCK_003,BATCH_147,130,31.2,2.15,99.79,219.7
2025-08-06,TRUCK_003,BATCH_147,132,31.0,1.79,100.21,218.4
2025-08-07,TRUCK_003,BATCH_147,134,31.7,2.06,99.47,227.1
2025-08-08,TRUCK_003,BATCH_147,136,30.8,2.64,99.72,207.9
2025-08-09,TRUCK_003,BATCH_147,138,31.3,2.15,99.65,215.5
2025-08-10,TRUCK_003,BATCH_147,140,31.4,1.28,100.08,235.6
2025-08-11,TRUCK_003,BATCH_147,142,30.7,2.91,99.42,232.1
2025-08-12,TRUCK_003,BATCH_147,144,30.6,1.96,99.63,216.7
2025-08-13,TRUCK_003,BATCH_147,146,30.9,2.55,99.65,198.3
2025-08-14,TRUCK_003,BATCH_147,148,31.3,2.75,99.58,205.8
2025-08-15,TRUCK_003,BATCH_147,150,31.0,1.73,99.76,211.0
2025-08-16,TRUCK_003,BATCH_147,152,30.3,1.42,99.69,215.7
2025-08-17,TRUCK_003,BATCH_147,154,31.3,1.59,99.45,213.1
2025-08-18,TRUCK_003,BATCH_147,156,30.6,1.36,99.58,225.7
2025-08-19,TRUCK_003,BATCH_147,158,31.7,1.46,99.46,203.6
2025-08-20,TRUCK_003,BATCH_147,160,30.7,2.31,99.75,233.2
2025-08-21,TRUCK_003,BATCH_147,162,31.4,1.81,99.56,223.9
2025-08-22,TRUCK_003,BATCH_147,164,31.2,1.96,100.12,200.9
2025-08-23,TRUCK_003,BATCH_147,166,31.2,1.5,99.75,198.8
2025-08-24,TRUCK_003,BATCH_147,168,31.6,2.16,99.73,225.2
2025-08-25,TRUCK_003,BATCH_147,170,31.2,1.65,99.95,232.5
2025-08-26,TRUCK_003,BATCH_147,172,30.4,1.13,99.66,194.5
2025-08-27,TRUCK_003,BATCH_147,174,30.3,2.29,99.8,216.4
2025-08-28,TRUCK_003,BATCH_147,176,30.6,1.25,99.84,234.0
2025-08-29,TRUCK_003,BATCH_147,178,31.3,2.62,99.85,221.9
2025-08-30,TRUCK_003,BATCH_147,180,30.8,2.91,99.37,198.8
2025-08-31,TRUCK_003,BATCH_147,182,31.1,2.89,99.72,231.3
2025-09-01,TRUCK_003,BATCH_147,184,30.9,2.86,99.66,204.6
2025-09-02,TRUCK_003,BATCH_147,186,31.3,1.99,99.56,211.0
2025-09-03,TRUCK_003,BATCH_147,188,30.2,2.78,99.64,214.1
2025-09-04,TRUCK_003,BATCH_147,190,30.9,1.1,99.7,194.2
2025-09-05,TRUCK_003,BATCH_147,192,31.4,2.6,99.35,197.5
2025-09-06,TRUCK_003,BATCH_147,194,31.0,1.78,99.79,214.6
2025-09-07,TRUCK_003,BATCH_147,196,30.4,2.1,100.01,232.4
2025-09-08,TRUCK_003,BATCH_147,198,30.9,1.17,99.89,217.2
2025-09-09,TRUCK_003,BATCH_147,200,31.1,1.46,99.66,239.3
2025-09-10,TRUCK_003,BATCH_147,202,30.5,1.14,99.92,238.6
2025-09-11,TRUCK_003,BATCH_147,204,31.4,1.64,99.7,198.4
2025-09-12,TRUCK_003,BATCH_147,206,30.5,1.97,99.67,236.7
2025-09-13,TRUCK_003,BATCH_147,208,32.1,1.31,99.63,194.5
